Store information:
Name,Owner,City,Id
Suzy's Books,Suzy Storm,Wellington,2383

Sales: Daily
Store,Date,Sales($)
Suzy's Books,20190101,800
Suzy's Books,20190102,700
Suzy's Books,20190103,400
Suzy's Books,20190104,750
Suzy's Books,20190105,1200
Suzy's Books,20190106,1000
Suzy's Books,20190107,482
Suzy's Books,20190108,460
Suzy's Books,20190109,511
Suzy's Books,20190110,550
Suzy's Books,20190111,751
Suzy's Books,20190112,1347
Suzy's Books,20190113,1103
Suzy's Books,20190114,637
Suzy's Books,20190115,514
Suzy's Books,20190116,650
Suzy's Books,20190117,572
Suzy's Books,20190118,1387
Suzy's Books,20190119,1056
Suzy's Books,20190120,1600
Suzy's Books,20190121,240
Suzy's Books,20190122,380
Suzy's Books,20190123,350
Suzy's Books,20190124,660
Suzy's Books,20190125,893
Suzy's Books,20190126,1239
Suzy's Books,20190127,1200
Suzy's Books,20190128,830
Suzy's Books,20190129,500
Suzy's Books,20190130,700
Suzy's Books,20190131,650
